Province/State,Country/Region,Lat,Long,4/20/20
Alaska,US,62.31305045,-149.5741743,19
Alaska,US,64.90320724,-164.0353804,1
Alaska,US,57.13978948,-132.9540995,3
Alaska,US,55.76261984,-133.0511621,2
Alaska,US,63.87692095,-143.2127643,1
Alaska,US,65.50815459,-151.3907387,1
Arizona,US,35.39465006,-109.4892383,202
Arizona,US,31.87934684,-109.7516088,28
Arizona,US,35.83883429,-111.7707178,337
Arizona,US,33.80190085,-110.8132779,8
Arizona,US,32.93166885,-109.8882178,2
Arizona,US,33.21498827,-109.2405279,2
Arizona,US,33.72854224,-113.9810029,5
Arizona,US,33.34835867,-112.4918154,2636
Arizona,US,35.70471703,-113.7577902,56
Arizona,US,35.3997715,-110.3218983,473
Arizona,US,32.0971334,-111.7890033,941
Arizona,US,32.90525627,-111.3449483,256
Arizona,US,31.52508998,-110.8479088,20
Arizona,US,34.59933926,-112.5538588,71
Arizona,US,32.76895712,-113.90666740000002,31
Arkansas,US,34.29145151,-91.37277296,2
Arkansas,US,33.19153461,-91.7698471,12
Arkansas,US,36.28784385,-92.33782872,5
Arkansas,US,36.33644656,-94.25680817,62
Arkansas,US,36.3084504,-93.09374925,3
Arkansas,US,33.46755808,-92.15980837,7
Arkansas,US,36.34038560000001,-93.54270261,2
Arkansas,US,33.26458973,-91.29539209,7
Arkansas,US,34.04613432,-93.17484713,27
Arkansas,US,36.36826212,-90.4148172,1
Arkansas,US,35.53864922,-92.02640019,71
Arkansas,US,33.89723187,-92.18537045,8
Arkansas,US,33.21230701,-93.22642793,5
Arkansas,US,35.26205537,-92.70506566,5
Arkansas,US,35.83018283,-90.63235729,44
Arkansas,US,35.58928601,-94.2446814,4
Arkansas,US,35.21247318,-90.30839406,142
Arkansas,US,35.29631396,-90.77185818,8
Arkansas,US,33.97042763,-92.65167437,1
Arkansas,US,33.83011025,-91.25500948,7
Arkansas,US,33.59035001,-91.71777921,6
Arkansas,US,35.14719007,-92.33717519,62
Arkansas,US,35.51202821,-93.89299569,1
Arkansas,US,34.57692074,-93.14921604,108
Arkansas,US,34.29017991,-92.42320562,11
Arkansas,US,36.11735460000001,-90.55832668,8
Arkansas,US,33.73325583,-93.66935133,5
Arkansas,US,34.31709259,-92.95396325,8
Arkansas,US,34.09007427,-93.9934871,14
Arkansas,US,35.74242707,-91.57001641,8
Arkansas,US,36.09604046,-91.90847954,2
Arkansas,US,35.59802983,-91.21494602,1
