Country_Code,Pop Density (per sqkm),Ages 0-9,Ages 10-19,Ages 20-29,Ages 30-39,Ages 40-49,Ages 50-59,Ages 60-69,Ages 70-79,Ages 80+,Population Total
ROU,84.63984701,0.100964125,0.105820256,0.117294721,0.136284358,0.159824487,0.126381327,0.131082739,0.074918082,0.047429906,19473937
RUS,8.822079555,0.126382816,0.098520376,0.122171359,0.165960979,0.134218961,0.137852184,0.120752023,0.056479534,0.037661769,144478052
RWA,498.6598703,0.279425639,0.225047314,0.173371651,0.137786863,0.078005733,0.058027098,0.032221904,0.01247551,0.003638287,12301942
SAU,15.67665431,0.17529811,0.142156959,0.16362907,0.202276431,0.174773628,0.086339513,0.036892877,0.013761298,0.004872114,33699947
SDN,,0.282054088,0.232614537,0.17076044,0.117937615,0.084389252,0.056906455,0.034175781,0.016174383,0.004987449,41801532
SEN,82.34747832,0.306661657,0.22888967,0.168999264,0.121354827,0.077463617,0.048786835,0.029709369,0.014292915,0.003841846,15854359
SGP,7952.998418,0.080917385,0.095231027,0.146452616,0.156891235,0.16759747,0.164811356,0.125190359,0.041423369,0.021485182,5638677
SLV,309.8814672,0.179904497,0.188394951,0.186487539,0.133173591,0.110526357,0.0853886,0.060409704,0.037173597,0.018541165,6420740
SOM,23.9234769,0.331619665,0.249158308,0.164437979,0.095110812,0.06793639,0.046319878,0.029188061,0.012920241,0.003308667,15008157
SRB,79.83174022,0.100046734,0.115716404,0.129346569,0.138306068,0.138778993,0.127371372,0.133878166,0.076188824,0.04036687,6982087
SSD,,0.294974072,0.231035127,0.173878755,0.116736322,0.079618809,0.052399871,0.03046559,0.016377118,0.004514335,10975924
STP,219.8208333,0.292567004,0.241740589,0.153971909,0.124909966,0.082390348,0.056716517,0.030028621,0.01251469,0.005160355,211032
SUR,3.69225,0.182452035,0.17657343,0.164515866,0.139350367,0.126482021,0.108247235,0.058358956,0.030780209,0.013239882,575987
SVK,113.2905782,0.104252058,0.099162476,0.129452489,0.160279493,0.150847162,0.132569612,0.12409946,0.066803439,0.032533812,5447010
SVN,102.6398595,0.102652013,0.091458581,0.104794345,0.14254999,0.145596852,0.145571699,0.132680943,0.081453613,0.053241965,2067373
SYC,210.3521739,0.163833283,0.137790271,0.143763629,0.152082924,0.153147381,0.129181609,0.07005777,0.033049823,0.01709331,96763
SYR,92.06710777,0.21268047,0.195905049,0.182650981,0.164396761,0.103235945,0.070949781,0.04312048,0.019091483,0.00796905,16906282
TCD,12.29173364,0.337794469,0.245711376,0.166837116,0.105798266,0.064547952,0.039896951,0.025309882,0.010972267,0.003131722,15477749
TGO,145.0467733,0.289257893,0.230024356,0.16566577,0.128928223,0.08724765,0.052699454,0.030270012,0.013204683,0.002701958,7889095
THA,135.8972068,0.110213565,0.126389424,0.137694806,0.137166032,0.161393481,0.149963092,0.100369901,0.051378365,0.025431335,69428523
TJK,65.57271417,0.269600989,0.187718125,0.18256157,0.14033284,0.092642087,0.073667799,0.036305871,0.011942411,0.005228307,9100842
TKM,12.45059477,0.222809748,0.165667789,0.179649052,0.154282536,0.113512925,0.08852447,0.050562118,0.016216474,0.008774886,5850902
TLS,85.27047747,0.254323626,0.239838325,0.184027288,0.111413869,0.080686922,0.065603028,0.03671839,0.021737022,0.005651531,1267975
TTO,270.9274854,0.136417664,0.13054083,0.140097161,0.174806312,0.131350981,0.128143473,0.09159961,0.048659437,0.018384533,1389864
TUN,74.44132338,0.171447055,0.138684552,0.153470717,0.165123345,0.130246309,0.113953988,0.075644932,0.03420649,0.017222612,11565203
TUR,106.9601289,0.164513876,0.164668565,0.157553818,0.153927118,0.133110588,0.102149491,0.069637708,0.037607196,0.01683164,82319725
TZA,63.5790788,0.312896701,0.233854254,0.165661361,0.119341731,0.079111892,0.047718144,0.026585386,0.012070915,0.002759616,56318347
UGA,213.0617345,0.333501782,0.249660752,0.169848405,0.10912803,0.067026278,0.039279581,0.020786745,0.008699969,0.002068458,42723139
